side,level,study,paradigm,speaker,time,mean,median,lower,upper
perceiver,paradigm,Standard stimulus,Standard stimulus,Interactant,0.4898,0.1735,0.1735,0.1458,0.2011
perceiver,paradigm,Standard stimulus,Standard stimulus,Interactant,0.5102,0.1677,0.1677,0.1449,0.1905
perceiver,paradigm,Standard stimulus,Standard stimulus,Interactant,0.5306,0.1607,0.1607,0.1402,0.1813
perceiver,paradigm,Standard stimulus,Standard stimulus,Interactant,0.551,0.1584,0.1584,0.1322,0.1845
perceiver,paradigm,Standard stimulus,Standard stimulus,Interactant,0.5714,0.1598,0.1598,0.1254,0.1941
perceiver,paradigm,Standard stimulus,Standard stimulus,Interactant,0.5918,0.1624,0.1624,0.118,0.2067
perceiver,paradigm,Standard stimulus,Standard stimulus,Interactant,0.6122,0.1651,0.1651,0.1085,0.2216
perceiver,paradigm,Standard stimulus,Standard stimulus,Interactant,0.6327,0.1675,0.1675,0.0991,0.2359
perceiver,paradigm,Standard stimulus,Standard stimulus,Interactant,0.6531,0.1695,0.1695,0.0932,0.2459
perceiver,paradigm,Standard stimulus,Standard stimulus,Interactant,0.6735,0.1712,0.1712,0.0941,0.2484
perceiver,paradigm,Standard stimulus,Standard stimulus,Interactant,0.6939,0.1726,0.1726,0.1033,0.242
perceiver,paradigm,Standard stimulus,Standard stimulus,Interactant,0.7143,0.1738,0.1738,0.1213,0.2264
perceiver,paradigm,Standard stimulus,Standard stimulus,Interactant,0.7347,0.1725,0.1725,0.1402,0.2048
perceiver,paradigm,Standard stimulus,Standard stimulus,Interactant,0.7551,0.1623,0.1623,0.1333,0.1914
perceiver,paradigm,Standard stimulus,Standard stimulus,Interactant,0.7755,0.1634,0.1634,0.135,0.1918
perceiver,paradigm,Standard stimulus,Standard stimulus,Interactant,0.7959,0.1733,0.1733,0.1482,0.1984
perceiver,paradigm,Standard stimulus,Standard stimulus,Interactant,0.8163,0.1765,0.1765,0.1451,0.2079
perceiver,paradigm,Standard stimulus,Standard stimulus,Interactant,0.8367,0.1772,0.1772,0.1457,0.2087
perceiver,paradigm,Standard stimulus,Standard stimulus,Interactant,0.8571,0.1779,0.1779,0.155,0.2008
perceiver,paradigm,Standard stimulus,Standard stimulus,Interactant,0.8776,0.1862,0.1862,0.1595,0.2128
perceiver,paradigm,Standard stimulus,Standard stimulus,Interactant,0.898,0.1878,0.1878,0.1517,0.2239
perceiver,paradigm,Standard stimulus,Standard stimulus,Interactant,0.9184,0.1874,0.1874,0.1468,0.228
perceiver,paradigm,Standard stimulus,Standard stimulus,Interactant,0.9388,0.1905,0.1905,0.1518,0.2293
perceiver,paradigm,Standard stimulus,Standard stimulus,Interactant,0.9592,0.1992,0.1992,0.1688,0.2297
perceiver,paradigm,Standard stimulus,Standard stimulus,Interactant,0.9796,0.2146,0.2146,0.1893,0.2399
perceiver,paradigm,Standard stimulus,Standard stimulus,Interactant,1.0,0.2363,0.2363,0.1937,0.2789
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.0,0.1426,0.1426,0.115,0.1702
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.0204,0.1427,0.1427,0.1107,0.1747
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.0408,0.1428,0.1428,0.1058,0.1799
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.0612,0.1429,0.1429,0.1005,0.1853
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.0816,0.1428,0.1428,0.0954,0.1902
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.102,0.1425,0.1425,0.0911,0.194
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.1224,0.1421,0.1421,0.088,0.1963
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.1429,0.1416,0.1416,0.0865,0.1966
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.1633,0.1409,0.1409,0.0867,0.195
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.1837,0.14,0.14,0.0884,0.1916
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.2041,0.1389,0.1389,0.0911,0.1868
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.2245,0.1376,0.1376,0.0943,0.1809
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.2449,0.1359,0.1359,0.096,0.1757
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.2653,0.1342,0.1342,0.0946,0.1737
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.2857,0.1335,0.1335,0.0942,0.1729
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.3061,0.1337,0.1337,0.0942,0.1731
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.3265,0.1342,0.1342,0.0942,0.1742
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.3469,0.1352,0.1352,0.0946,0.1759
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.3673,0.1367,0.1367,0.0957,0.1777
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.3878,0.1387,0.1387,0.0981,0.1794
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.4082,0.1414,0.1414,0.1021,0.1808
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.4286,0.1447,0.1447,0.1076,0.1817
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.449,0.1483,0.1483,0.1144,0.1822
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.4694,0.1521,0.1521,0.1218,0.1823
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.4898,0.1548,0.1548,0.1258,0.1837
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.5102,0.1566,0.1566,0.1274,0.1857
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.5306,0.1584,0.1584,0.1294,0.1874
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.551,0.1602,0.1602,0.1316,0.1888
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.5714,0.1621,0.1621,0.1338,0.1903
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.5918,0.1638,0.1638,0.1355,0.192
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.6122,0.1652,0.1652,0.1365,0.1939
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.6327,0.1665,0.1665,0.1371,0.196
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.6531,0.1678,0.1678,0.1375,0.1981
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.6735,0.1692,0.1692,0.1385,0.2
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.6939,0.1709,0.1709,0.1406,0.2012
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.7143,0.173,0.173,0.1445,0.2014
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.7347,0.175,0.175,0.1492,0.2007
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.7551,0.1755,0.1755,0.1494,0.2015
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.7755,0.1762,0.1762,0.1507,0.2018
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.7959,0.1774,0.1774,0.1532,0.2015
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.8163,0.1789,0.1789,0.1568,0.2011
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.8367,0.1809,0.1809,0.1613,0.2006
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.8571,0.1834,0.1834,0.1663,0.2005
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.8776,0.1862,0.1862,0.1713,0.2012
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.898,0.1894,0.1894,0.1757,0.2031
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.9184,0.1928,0.1928,0.1791,0.2065
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.9388,0.1962,0.1962,0.1814,0.2111
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.9592,0.1996,0.1996,0.1828,0.2163
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,0.9796,0.2026,0.2026,0.1836,0.2215
perceiver,paradigm,Standard stimulus,Standard stimulus,Target,1.0,0.205,0.205,0.1838,0.2263
target,pooled,All studies,All,Interactant,0.0,0.1233,0.1233,0.087,0.1596
target,pooled,All studies,All,Interactant,0.0204,0.1237,0.1237,0.0859,0.1614
target,pooled,All studies,All,Interactant,0.0408,0.1245,0.1245,0.0862,0.1627
target,pooled,All studies,All,Interactant,0.0612,0.1257,0.1257,0.0882,0.1632
target,pooled,All studies,All,Interactant,0.0816,0.1272,0.1272,0.0918,0.1627
target,pooled,All studies,All,Interactant,0.102,0.129,0.129,0.0967,0.1612
target,pooled,All studies,All,Interactant,0.1224,0.1307,0.1307,0.102,0.1595
target,pooled,All studies,All,Interactant,0.1429,0.1325,0.1325,0.1068,0.1581
target,pooled,All studies,All,Interactant,0.1633,0.1341,0.1341,0.1108,0.1573
target,pooled,All studies,All,Interactant,0.1837,0.1355,0.1355,0.1139,0.157
target,pooled,All studies,All,Interactant,0.2041,0.1366,0.1366,0.1162,0.1569
target,pooled,All studies,All,Interactant,0.2245,0.1374,0.1374,0.1179,0.1569
target,pooled,All studies,All,Interactant,0.2449,0.138,0.138,0.1192,0.1569
target,pooled,All studies,All,Interactant,0.2653,0.1384,0.1384,0.12,0.1568
target,pooled,All studies,All,Interactant,0.2857,0.1387,0.1387,0.1206,0.1567
target,pooled,All studies,All,Interactant,0.3061,0.1388,0.1388,0.121,0.1566
target,pooled,All studies,All,Interactant,0.3265,0.139,0.139,0.1213,0.1567
target,pooled,All studies,All,Interactant,0.3469,0.1392,0.1392,0.1215,0.1569
target,pooled,All studies,All,Interactant,0.3673,0.1395,0.1395,0.1218,0.1572
target,pooled,All studies,All,Interactant,0.3878,0.1399,0.1399,0.1222,0.1576
target,pooled,All studies,All,Interactant,0.4082,0.1404,0.1404,0.1227,0.1582
target,pooled,All studies,All,Interactant,0.4286,0.1411,0.1411,0.1232,0.1589
target,pooled,All studies,All,Interactant,0.449,0.1418,0.1418,0.1238,0.1599
target,pooled,All studies,All,Interactant,0.4694,0.1427,0.1427,0.1242,0.1611
target,pooled,All studies,All,Interactant,0.4898,0.1435,0.1435,0.1246,0.1624
target,pooled,All studies,All,Interactant,0.5102,0.1443,0.1443,0.125,0.1637
target,pooled,All studies,All,Interactant,0.5306,0.1451,0.1451,0.1254,0.1648
target,pooled,All studies,All,Interactant,0.551,0.1459,0.1459,0.1259,0.1658
target,pooled,All studies,All,Interactant,0.5714,0.1465,0.1465,0.1265,0.1666
target,pooled,All studies,All,Interactant,0.5918,0.1471,0.1471,0.1271,0.1672
target,pooled,All studies,All,Interactant,0.6122,0.1477,0.1477,0.1278,0.1676
target,pooled,All studies,All,Interactant,0.6327,0.1482,0.1482,0.1284,0.1679
target,pooled,All studies,All,Interactant,0.6531,0.1486,0.1486,0.1291,0.1682
target,pooled,All studies,All,Interactant,0.6735,0.149,0.149,0.1297,0.1684
target,pooled,All studies,All,Interactant,0.6939,0.1494,0.1494,0.1304,0.1685
target,pooled,All studies,All,Interactant,0.7143,0.1498,0.1498,0.131,0.1686
target,pooled,All studies,All,Interactant,0.7347,0.1502,0.1502,0.1315,0.1688
target,pooled,All studies,All,Interactant,0.7551,0.1505,0.1505,0.132,0.169
target,pooled,All studies,All,Interactant,0.7755,0.1508,0.1508,0.1324,0.1693
target,pooled,All studies,All,Interactant,0.7959,0.1512,0.1512,0.1328,0.1696
target,pooled,All studies,All,Interactant,0.8163,0.1516,0.1516,0.1331,0.17
target,pooled,All studies,All,Interactant,0.8367,0.152,0.152,0.1335,0.1705
target,pooled,All studies,All,Interactant,0.8571,0.1526,0.1526,0.1339,0.1713
target,pooled,All studies,All,Interactant,0.8776,0.1533,0.1533,0.1343,0.1723
target,pooled,All studies,All,Interactant,0.898,0.1541,0.1541,0.1348,0.1735
target,pooled,All studies,All,Interactant,0.9184,0.155,0.155,0.1355,0.1746
target,pooled,All studies,All,Interactant,0.9388,0.156,0.156,0.1365,0.1754
target,pooled,All studies,All,Interactant,0.9592,0.1569,0.1569,0.1378,0.1759
target,pooled,All studies,All,Interactant,0.9796,0.1577,0.1577,0.1388,0.1766
target,pooled,All studies,All,Interactant,1.0,0.1585,0.1585,0.1393,0.1777
target,pooled,All studies,All,Target,0.0,0.1362,0.1362,0.1226,0.1498
target,pooled,All studies,All,Target,0.0204,0.138,0.138,0.1234,0.1525
target,pooled,All studies,All,Target,0.0408,0.1396,0.1396,0.1234,0.1558
target,pooled,All studies,All,Target,0.0612,0.141,0.141,0.1229,0.1591
target,pooled,All studies,All,Target,0.0816,0.1422,0.1422,0.1229,0.1616
target,pooled,All studies,All,Target,0.102,0.1433,0.1433,0.1234,0.1632
target,pooled,All studies,All,Target,0.1224,0.1441,0.1441,0.1241,0.1642
target,pooled,All studies,All,Target,0.1429,0.1448,0.1448,0.1246,0.165
target,pooled,All studies,All,Target,0.1633,0.1454,0.1454,0.1248,0.1659
target,pooled,All studies,All,Target,0.1837,0.1457,0.1457,0.1249,0.1666
target,pooled,All studies,All,Target,0.2041,0.146,0.146,0.1249,0.1671
target,pooled,All studies,All,Target,0.2245,0.1463,0.1463,0.1253,0.1673
target,pooled,All studies,All,Target,0.2449,0.1465,0.1465,0.1258,0.1672
target,pooled,All studies,All,Target,0.2653,0.1468,0.1468,0.1264,0.1671
target,pooled,All studies,All,Target,0.2857,0.147,0.147,0.127,0.1671
target,pooled,All studies,All,Target,0.3061,0.1474,0.1474,0.1274,0.1673
target,pooled,All studies,All,Target,0.3265,0.1477,0.1477,0.1277,0.1676
target,pooled,All studies,All,Target,0.3469,0.148,0.148,0.128,0.1679
target,pooled,All studies,All,Target,0.3673,0.1482,0.1482,0.1282,0.1681
target,pooled,All studies,All,Target,0.3878,0.1483,0.1483,0.1284,0.1682
target,pooled,All studies,All,Target,0.4082,0.1483,0.1483,0.1285,0.1682
target,pooled,All studies,All,Target,0.4286,0.1483,0.1483,0.1286,0.168
target,pooled,All studies,All,Target,0.449,0.1482,0.1482,0.1286,0.1678
target,pooled,All studies,All,Target,0.4694,0.148,0.148,0.1286,0.1675
target,pooled,All studies,All,Target,0.4898,0.1479,0.1479,0.1288,0.167
target,pooled,All studies,All,Target,0.5102,0.1479,0.1479,0.1291,0.1666
target,pooled,All studies,All,Target,0.5306,0.148,0.148,0.1294,0.1665
target,pooled,All studies,All,Target,0.551,0.1482,0.1482,0.1297,0.1668
target,pooled,All studies,All,Target,0.5714,0.1488,0.1488,0.13,0.1675
target,pooled,All studies,All,Target,0.5918,0.1495,0.1495,0.1304,0.1686
target,pooled,All studies,All,Target,0.6122,0.1504,0.1504,0.1309,0.1699
target,pooled,All studies,All,Target,0.6327,0.1514,0.1514,0.1317,0.1711
target,pooled,All studies,All,Target,0.6531,0.1524,0.1524,0.1327,0.1722
target,pooled,All studies,All,Target,0.6735,0.1534,0.1534,0.1338,0.173
target,pooled,All studies,All,Target,0.6939,0.1544,0.1544,0.1349,0.1739
target,pooled,All studies,All,Target,0.7143,0.1553,0.1553,0.1357,0.1749
target,pooled,All studies,All,Target,0.7347,0.1561,0.1561,0.1361,0.1761
target,pooled,All studies,All,Target,0.7551,0.1568,0.1568,0.1364,0.1772
target,pooled,All studies,All,Target,0.7755,0.1574,0.1574,0.1368,0.1781
target,pooled,All studies,All,Target,0.7959,0.158,0.158,0.1374,0.1785
target,pooled,All studies,All,Target,0.8163,0.1585,0.1585,0.1384,0.1787
target,pooled,All studies,All,Target,0.8367,0.1591,0.1591,0.1395,0.1787
target,pooled,All studies,All,Target,0.8571,0.1599,0.1599,0.1409,0.1788
target,pooled,All studies,All,Target,0.8776,0.1608,0.1608,0.1423,0.1793
target,pooled,All studies,All,Target,0.898,0.1619,0.1619,0.1437,0.1801
target,pooled,All studies,All,Target,0.9184,0.1631,0.1631,0.1449,0.1813
target,pooled,All studies,All,Target,0.9388,0.1644,0.1644,0.1458,0.1829
target,pooled,All studies,All,Target,0.9592,0.1655,0.1655,0.1464,0.1845
target,pooled,All studies,All,Target,0.9796,0.1661,0.1661,0.1465,0.1858
target,pooled,All studies,All,Target,1.0,0.1662,0.1662,0.146,0.1864
